Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
Fresh Roasted Coffee,El Salvador Finca Hungria,92,Pennsylvania,El Salvador,Medium-Light,1.25,9,9,55,73,1,13.83,-88.92
Nostalgia Coffee Roasters,Guatemala La Voz,94,California,Guatemala,Medium-Light,1.75,9,9,58,76,1,15.5,-90.25
Equator Coffees,Guatemala El Injerto Pacamara,93,California,Guatemala,Medium-Light,3.17,9,9,57,74,1,15.5,-90.25
Novo Coffee Roasters,Guatemala El Mirador,93,Colorado,Guatemala,Medium-Light,1.58,9,9,58,80,1,15.5,-90.25
States Coffee,Guatemala Pache,93,California,Guatemala,Medium-Light,1.5,9,9,58,78,1,15.5,-90.25
Magnolia Coffee,Guatemala Finca San Gerardo,92,North Carolina,Guatemala,Medium-Light,1.25,9,9,54,74,1,15.5,-90.25
Paradise Roasters,Ethiopia Guji Laayoo Natural,95,Minnesota,Ethiopia,Light,2.08,9,9,64,84,0,8.0,38.0
Drink Coffee Do Stuff,Kenya Gatomboya,94,California,Kenya,Medium-Light,2.0,9,9,56,76,1,1.0,38.0
Paradise Roasters,Nicaragua La Bendicion Yellow Maracaturra Natural,94,Minnesota,Nicaragua,Light,2.49,9,9,64,86,0,13.0,-85.0
Paradise Roasters,Kona Lactic Washed,94,Minnesota,Big Island,Medium-Light,6.24,9,9,60,76,1,19.8968,-155.5828
